Episodes,Reward
0,0.0071925112092996,
1,0.002659284563205937,
2,0.334376856889913,
3,0.7623427143471035,
4,0.7700431458051551,
5,0.7471720943315961,
6,0.6894490858690777,
7,0.7700431458051551,
8,0.7700431458051551,
9,0.7249803359578534,
