action,x,y
north,9,9
east,2,3
east,8,8
north,1,2
north,7,4
north,7,7
east,6,3
north,9,10
north,7,5
north,1,3
north,7,8
east,3,3
east,9,8
east,5,3
east,1,1
east,7,3
north,7,6
east,10,10
