Episodes,Reward,Reward,Reward,Reward,Reward,Reward
0,4.738159639467584E-84,0.9,1.4216299677918068E-32,0.0,2.0504327506461177E-15,2.195199608053746E-141
1,3.1698348122249585E-69,0.6561000000000001,3.98570234129788E-109,2.559960073713116E-28,1.0,1.3019368736507579E-24
2,1.325998941228901E-64,0.9,0.042391158275216244,0.0,1.0,0.025031555049932444
3,1.6288220690903737E-30,0.9,0.025031555049932444,2.8936118781166754E-123,1.0,3.5585608799414275E-34
4,8.826440654632605E-16,0.9,1.1586699827510646E-11,3.349713261757596E-86,1.0,2.7863144333694996E-98
5,7.440066786846054E-34,0.9,2.6972160559060804E-4,1.5730841265504205E-46,1.0,2.1642771689644397E-87
6,3.458126462749641E-29,0.9,6.961986091308866E-4,1.0839389469057277E-84,1.0,1.472001545586319E-16
7,2.951266543065283E-5,0.9,4.997995805289305E-5,2.1667885502085147E-32,1.0,1.9843573748677873E-24
8,1.1410244842468357E-12,0.9,0.5904900000000002,2.6972160559060815E-4,1.0,3.4266065939217418E-9
9,4.9218808382846585E-6,0.81,0.5904900000000002,3.998568786365299E-47,1.0,0.01824800363140075
10,4.846925033557816E-7,0.9,0.5904900000000002,3.272426261628316E-12,1.0,0.07976644307687256
11,1.4947654752210201E-15,0.9,0.5904900000000002,6.252872956926568E-11,1.0,0.1667718169966658
12,2.1187083124088584E-6,0.9,0.5904900000000002,3.323033057102011E-11,9.404610869860067E-5,2.6561398887587544E-5
13,0.0017970102999144337,0.9,0.5904900000000002,0.0024650347049580716,1.0,0.09847709021836118
14,2.2139585805492475E-10,0.9,0.5904900000000002,1.5147529079002411E-21,1.0,0.025031555049932444
15,0.15009463529699923,0.9,1.820572803775017E-112,0.0019966781110160375,1.0,0.007855167211278947
16,1.0406536448257438E-18,0.9,0.5904900000000002,4.558344385599471E-11,1.0,2.7953090743455875E-36
17,2.697216055906082E-4,0.9,0.47829690000000014,0.011972515182562036,1.0,1.0290430145553228E-5
18,0.02027555959044527,0.9,0.5904900000000002,1.6139758052204015E-10,1.0,0.38742048900000015
19,0.001996678111016038,0.81,0.5904900000000002,1.4334111979667842E-4,1.0,0.004638397686588108
20,0.013302794647291151,0.7290000000000001,0.5904900000000002,1.4947654752210205E-15,1.0,0.47829690000000014
21,0.00969773729787525,0.9,0.5904900000000002,1.932334983228904E-12,1.0,0.001310020508637622
22,4.5677590745077487E-4,0.9,0.5904900000000002,2.9784139647969182E-25,1.0,4.628837403188787E-10
23,0.004174557917929299,0.9,0.5314410000000002,1.1898637375327406E-23,1.0,3.2791850478503125E-5
24,0.01478088294143461,0.9,0.47829690000000014,3.5880511311095157E-6,1.0,9.1203445604645E-7
25,0.0984770902183612,0.9,0.34867844010000015,0.025031555049932444,1.0,1.433411197966784E-4
26,0.07976644307687258,0.9,0.5904900000000002,8.429294523088523E-19,1.0,0.2058911320946491
27,3.2791850478503146E-5,0.7290000000000001,0.5904900000000002,1.248497456405941E-13,1.0,0.16677181699666577
28,0.00785516721127895,0.9,0.5904900000000002,3.083945934529567E-9,1.0,1.2678049824964836E-12
29,1.2704234747596572E-5,0.9,0.5904900000000002,1.7020486373372588E-34,1.0,5.385472259508682E-7
30,0.02503155504993244,0.9,0.47829690000000014,3.279185047850313E-5,1.0,0.009697737297875247
31,0.01824800363140075,0.9,0.38742048900000015,1.8739277038848082E-14,1.0,0.04239115827521624
32,0.0717897987691853,0.9,0.5904900000000002,2.184745005283926E-4,1.0,0.025031555049932437
33,6.265787482177985E-4,0.9,0.5904900000000002,8.98144994103402E-8,1.0,0.09847709021836117
34,7.501723576108303E-6,0.9,0.5314410000000002,2.4979962069689494E-9,1.0,2.5366267437735426E-8
35,4.498196224760377E-5,0.9,0.28242953648100017,1.2900700781701057E-4,1.0,4.997995805289305E-5
36,0.0471012869724625,0.9,0.5904900000000002,1.9662705047555334E-4,1.0,6.961986091308867E-4
