Episodes,Reward,Reward,Reward,Reward,Reward,Reward
0,2.1143414052836472E-13,0.9,6.751551218497473E-6,2.5E-323,3.4541183771718674E-84,1.3027799830565217E-175
1,1.4028713087868936E-26,0.9,4.6192968246584444E-17,1.0337024322441869E-245,1.0,1.433044051802834E-107
2,4.911736262754244E-13,0.9,0.04710128697246248,1.5889893104399644E-114,1.0,5.252425144265183E-194
3,6.9476366188073E-11,0.9,0.34867844010000015,1.3560900793260997E-90,1.0,1.3722788483184725E-254
4,2.294476371992231E-42,0.81,0.018248003631400753,7.515292026487067E-102,1.0,4.997995805289306E-5
5,9.958820128802465E-15,0.9,0.3874204890000001,5.691081370843232E-24,1.0,0.12157665459056936
6,3.6285348956221995E-19,1.0896840314361239E-15,0.4782969000000001,1.0071184895687468E-27,1.0,0.13508517176729928
7,5.639208733960182E-4,0.9,0.3874204890000001,2.5952059375857816E-288,1.0,2.9512665430652842E-5
8,4.420562636478824E-13,0.9,5.5533286725436733E-5,1.3900845237714517E-6,1.0,0.0057264168970223555
9,1.8453894755815063E-15,0.9,0.31381059609000017,9.510722527101448E-18,1.0,3.083945934529567E-9
10,0.014780882941434615,0.9,0.5904900000000001,2.7220265773220707E-24,1.0,0.0027389274499534126
11,0.0646108188922668,0.9,0.04239115827521623,7.484344150720821E-116,1.0,0.0646108188922668
12,0.001797010299914434,0.9,0.1853020188851842,1.4794244075760464E-50,1.0,5.075287860564166E-4
13,0.005726416897022357,0.81,0.3138105960900001,5.075287860564164E-4,1.0,9.120344560464498E-7
14,1.7696434542799802E-4,0.9,0.31381059609000017,2.7837980275816996E-50,1.0,0.025031555049932444
15,1.2320233115273002E-7,0.9,0.47829690000000014,2.497996206968949E-9,1.0,6.947636618807296E-11
16,6.96198609130887E-4,0.9,0.2541865828329,0.1500946352969992,1.0,1.6642808065898227E-8
17,0.0033813919135227315,0.9,0.5314410000000002,1.1947838420050077E-9,1.0,2.615689274578836E-6
18,5.639208733960182E-4,0.9,0.31381059609000017,0.013302794647291144,1.0,0.03433683820292515
19,2.151473309894591E-5,0.9,0.43046721000000016,3.807340659913045E-9,5.468756486982954E-6,0.030903154382632643
20,0.12157665459056936,0.9,0.34867844010000015,1.4334111979667842E-4,1.0,0.06461081889226677
21,0.07178979876918531,0.9,0.13508517176729926,0.1500946352969992,1.0,0.009697737297875252
22,0.03433683820292515,0.9,0.03433683820292515,0.07976644307687258,1.0,0.020275559590445278
23,6.252872956926568E-11,0.9,0.3486784401000001,0.0984770902183612,1.0,0.014780882941434611
24,0.08862938119652508,0.9,0.31381059609000006,2.6972160559060804E-4,0.9,0.08862938119652508
25,3.741630427973339E-17,0.9,0.16677181699666577,3.329896365316149E-4,1.0,7.735540101454298E-4
26,0.007855167211278952,0.9,0.1500946352969992,0.10941898913151243,1.0,1.8777980666473104E-7
27,0.0013100205086376225,0.9,0.20589113209464907,0.0225283995449392,1.0,0.12157665459056935
28,1.121331740621826E-20,0.9,0.08862938119652507,4.052036120041096E-53,1.0,8.506831949809991E-39
29,0.08862938119652508,0.9,0.43046721000000004,1.541354884451778E-13,1.0,5.075287860564166E-4
30,0.001617309269922991,0.6561000000000001,0.04710128697246247,0.042391158275216244,1.0,9.550049507968269E-4
31,0.018248003631400757,0.81,0.00338139191352273,4.8269654586992145E-21,1.0,2.3541203471209536E-6
32,0.052334763302736106,0.9,0.16677181699666577,0.05814973700304011,1.0,6.265787482177983E-4
33,0.20589113209464913,0.9,0.10941898913151243,8.577329159021354E-11,1.0,0.00785516721127895
34,0.047101286972462485,0.9,1.1610630703530947E-4,1.208264516035517E-22,1.0,1.7426933810146195E-5
35,0.034336838202925164,0.9,0.12157665459056936,0.08862938119652508,2.951266543065284E-5,0.22876792454961012
36,2.6561398887587547E-5,0.9,0.13508517176729928,0.03815204244769462,0.9,0.08862938119652508
37,0.025031555049932448,0.9,3.2388407169558933E-47,0.00515377520732012,1.0,0.007855167211278947
38,0.00515377520732012,0.9,0.4304672100000001,0.08862938119652508,1.0,0.0022185312344622644
39,0.0646108188922668,0.9,0.38742048900000015,6.961986091308871E-4,1.0,1.9029072647552818E-13
40,0.05233476330273609,0.9,0.3874204890000001,1.1923212519249185E-16,1.0,2.390525899882879E-5
41,0.10941898913151245,0.9,0.16677181699666577,0.005726416897022357,1.0,0.025031555049932444
42,0.04239115827521625,0.9,0.01478088294143461,0.0984770902183612,1.0,1.4334111979667845E-4
43,0.01478088294143461,0.9,0.47829690000000014,0.007069650490151055,1.0,0.0024650347049580716
44,0.009697737297875248,0.9,0.22876792454961012,1.1433811272836918E-5,0.9,3.2292460179985645E-6
45,0.004638397686588108,0.9,0.1500946352969992,0.001996678111016038,1.0,0.001996678111016038
46,0.05814973700304011,0.81,0.1094189891315124,1.8739277038848082E-14,1.0,0.07976644307687254
47,1.5926791088519813E-4,0.9,0.004638397686588107,9.637896274015202E-24,1.0,8.59504455717144E-4
48,0.010775263664305826,0.9,0.31381059609000006,0.0523347633027361,1.0,0.18530201888518422
49,0.0051537752073201205,0.9,0.3874204890000001,0.0225283995449392,1.0,0.058149737003040124
50,0.04239115827521625,0.7290000000000001,0.31381059609000006,5.9592166156780344E-21,1.0,0.009697737297875248
51,3.692258952335571E-11,0.9,0.531441,5.553328672543672E-5,1.0,3.32989636531615E-4
52,0.0051537752073201205,0.9,0.13508517176729926,0.014780882941434608,1.0,2.3905258998828795E-5
53,0.014780882941434608,0.9,0.18530201888518416,0.07178979876918531,1.0,0.007069650490151055
54,0.12157665459056939,0.9,0.47829690000000014,5.11141624425798E-31,1.0,0.020275559590445278
55,0.02252839954493919,0.9,0.3874204890000001,1.6570027952271926E-125,1.0,6.648731184578618E-7
56,0.0886293811965251,0.9,0.022528399544939195,0.05814973700304011,1.0,5.553328672543675E-5
57,0.0017970102999144337,0.9,0.1500946352969992,2.361114882660855E-47,1.0,5.553328672543673E-5
58,0.04239115827521624,0.9,0.2824295364810001,1.3397490452223076E-29,1.0,0.020275559590445285
59,0.12157665459056936,0.9,0.12157665459056935,1.158669982751064E-11,1.0,0.027812838944369377
60,0.004174557917929299,0.9,0.4782969000000001,0.06461081889226679,1.0,0.010775263664305831
61,2.9969067287845345E-4,0.9,0.16677181699666577,0.003043252722170458,1.0,0.0063626854411359506
62,0.005726416897022356,0.9,0.2058911320946491,0.030903154382632643,1.0,0.0027389274499534126
63,0.0581497370030401,0.9,0.31381059609000006,0.12157665459056934,1.0,6.855961324127989E-5
64,4.102509947039524E-11,0.9,0.020275559590445278,0.02781283894436938,1.0,0.004174557917929297
65,6.751551218497473E-6,0.9,0.3874204890000001,0.052334763302736086,1.0,1.4334111979667842E-4
66,0.0523347633027361,0.9,0.4782969000000001,4.110983167056973E-4,1.0,0.16677181699666577
67,0.0051537752073201205,0.9,7.735540101454296E-4,2.697216055906081E-4,1.0,0.007855167211278952
68,0.013302794647291147,0.81,0.34867844010000015,0.00785516721127895,1.0,0.07976644307687254
69,4.997995805289306E-5,0.9,0.4304672100000001,1.5684240429131574E-5,1.0,0.025031555049932448
70,0.0030432527221704586,0.9,0.030903154382632643,0.013302794647291153,1.068670159530196E-30,0.07178979876918533
71,0.0013100205086376228,0.9,0.4782969000000001,0.0030432527221704573,1.0,0.0030432527221704586
72,1.76964345427998E-4,0.9,0.3874204890000001,0.2058911320946491,1.0,0.03433683820292516
73,0.1350851717672993,0.9,0.05814973700304011,0.1853020188851842,1.0,0.008727963568087723
74,0.13508517176729928,0.9,0.3138105960900001,0.2058911320946491,1.0,0.25418658283290013
75,0.1500946352969992,0.9,0.2824295364810001,0.08862938119652508,0.9,0.13508517176729928
76,0.06461081889226677,0.81,0.07178979876918531,5.983858066120759E-7,1.0,0.20589113209464913
77,7.617734804586655E-5,0.9,0.2824295364810001,0.052334763302736086,1.0,0.10941898913151243
78,0.12157665459056936,0.9,0.1853020188851842,0.16677181699666577,1.0,1.9662705047555337E-4
79,6.648731184578619E-7,0.9,0.0051537752073201205,0.13508517176729928,2.1514733098945913E-5,1.7696434542799805E-4
80,0.020275559590445278,0.9,0.5904900000000002,0.16677181699666577,1.0,0.027812838944369384
81,0.0027389274499534126,0.9,0.5904900000000002,0.2058911320946491,1.0,0.0225283995449392
82,0.0717897987691853,0.9,0.5904900000000002,0.0984770902183612,1.0,0.0011790184577738605
83,0.027812838944369384,0.9,0.5904900000000002,0.22876792454961012,1.0,0.22876792454961015
84,0.0581497370030401,0.9,0.43046721000000016,0.16677181699666577,1.0,0.0011790184577738605
85,0.00785516721127895,0.9,0.5904900000000002,0.2058911320946491,1.0,1.5926791088519818E-4
86,5.615986545028136E-18,0.9,0.5904900000000002,0.12157665459056936,1.0,0.007855167211278952
