Episodes,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward
0,6.227123706628492E-25,1.5237675132263698E-103,0.34867844010000015,1.4258538985464354E-73,4.353241455684411E-14,8.89730701045854E-91,2.9262603264202887E-136,4.2819768008337417E-70,3.3025278924074296E-32,3.222590161993058E-13,9.87443858954281E-146,1.4479041728231153E-72
1,2.3087226153029112E-21,4.206997072613516E-181,2.5464633291581463E-97,2.003907470573448E-195,1.0,4.393285036964726E-34,5.592859984771002E-32,8.790093485703563E-30,1.7335054692019665E-74,4.140247157848965E-31,1.7749013987385305E-45,6.580493968408785E-42
2,5.639208733960181E-4,5.844296867375866E-36,1.5445383597460583E-6,1.313576288139752E-147,1.0,8.03136832886194E-132,1.482100258860043E-146,3.91791731011597E-14,1.932334983228903E-12,9.374349064798684E-67,2.6972160559060804E-4,4.488924913070389E-12
3,1.5085151749358984E-35,7.593222742486935E-67,0.9,1.2992534285645125E-31,1.0,8.524401744811768E-32,1.0382427372268454E-128,2.1250033943947638E-47,2.570545547167088E-14,5.211924942154006E-16,1.6187712317345773E-51,1.4245661662790746E-25
4,2.610298031214377E-13,2.0778503537726203E-21,0.9,5.227410554129512E-57,1.0,3.7032293500453506E-52,5.143152670209761E-10,4.7186479591009183E-98,1.0919346372035822E-8,9.185267638081546E-34,0.22876792454961012,0.03815204244769462
5,0.0022185312344622636,2.161768698496197E-142,0.9,2.8126649528753327E-15,1.0,3.4266065939217406E-9,0.025031555049932444,1.057702190655284E-65,0.01077526366430583,8.318068490159429E-13,0.38742048900000015,7.040537760491452E-17
6,9.677749120240556E-10,1.5445383597460583E-6,0.9,2.3964005293293153E-252,1.0,0.06461081889226679,1.8098022989893065E-30,0.00785516721127895,0.030903154382632643,3.124382813489939E-118,0.5314410000000002,1.10653556986694E-14
7,6.961986091308866E-4,4.8070880771127945E-35,0.9,1.1898637375327413E-23,0.9,1.2678049824964836E-12,3.6846487721929585E-18,2.1534181276707622E-53,0.00338139191352273,2.1802419887646303E-11,0.43046721000000016,1.8060720835045265E-37
8,1.3248013910276872E-16,1.525535660674358E-48,0.9,2.390525899882879E-5,1.0,0.0016173092699229901,1.2625841779082041E-26,3.173513021193936E-14,0.0016173092699229901,1.6269342092002854E-85,0.5314410000000002,0.009697737297875247
9,3.749358296582916E-10,5.038124070239265E-80,0.9,8.524401744811768E-32,1.0,0.1500946352969992,6.723748417541343E-20,0.007069650490151055,0.43046721000000016,1.2847575862046213E-18,0.47829690000000014,0.00515377520732012
10,2.3855987447270406E-12,1.613975805220401E-10,0.81,1.1693280857080614E-31,1.0,0.001310020508637622,2.996906728784534E-4,0.34867844010000015,0.38742048900000015,6.21428887196778E-32,0.5314410000000002,3.3093488497743525E-25
11,1.2459241562464731E-20,2.4825820287919157E-30,0.9,8.692021926532657E-17,1.0,0.31381059609000017,2.4224910986273667E-11,0.030903154382632643,0.43046721000000016,5.435010884542883E-27,0.5314410000000002,1.1562818275841592E-18
12,5.05438789052532E-18,1.0919346372035822E-8,0.9,5.8927293063124204E-8,1.0,0.31381059609000017,3.21594802448993E-20,0.014780882941434608,0.43046721000000016,1.4334111979667834E-4,0.2058911320946491,0.00636268544113595
13,1.9501096951876634E-32,7.617734804586655E-5,0.9,1.6865349334963268E-14,1.0,0.1853020188851842,3.692258952335568E-11,0.31381059609000017,0.22876792454961012,1.1765883620056724E-10,0.5314410000000002,0.1853020188851842
14,2.5366267437735433E-8,9.1203445604645E-7,0.9,3.450998857216775E-36,1.0,0.28242953648100017,0.0022185312344622636,0.13508517176729928,0.43046721000000016,2.4274944503154723E-4,0.042391158275216244,6.252872956926567E-11
15,9.677749120240556E-10,2.118708312408859E-6,0.81,6.252872956926567E-11,1.0,0.28242953648100017,0.1500946352969992,0.38742048900000015,0.28242953648100017,7.927423489709027E-23,0.38742048900000015,0.38742048900000015
16,1.7696434542799794E-4,3.0839459345295667E-9,0.9,3.91791731011597E-14,1.0,0.34867844010000015,0.2058911320946491,0.31381059609000017,0.34867844010000015,0.06461081889226679,0.47829690000000014,0.34867844010000015
