Episodes,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward
0,6.607704410060551E-28,1.0760018050421446E-160,1.849200896210913E-8,1.2567408355438236E-246,0.9,1.3660932961320247E-14,7.570728679735177E-26,2.996906728784534E-4,1.615020985067135E-161,1.731939887391226E-26,2.939113265453981E-19,1.8872672386974986E-41
1,7.361821839906104E-172,1.5828512958656385E-25,0.5904900000000002,9.308089526598617E-40,1.0,7.4998021253495315E-109,1.0487402315304601E-196,2.7698306031832673E-16,1.9662705047555326E-4,6.0389009828254255E-27,0.38742048900000015,1.7086488779091136E-123
2,1.867419416200198E-179,1.2331369952648093E-55,0.9,5.684485214973832E-79,1.0,1.2547932543561643E-47,2.2435627885784467E-16,2.2548764023411795E-50,1.331481966818443E-50,8.98956869548046E-56,1.3689147905858892E-7,1.0545688676571137E-24
3,1.7623560853286985E-18,3.0058111038942744E-45,0.9,2.5313984575877994E-15,1.0,1.203288898321228E-36,2.7414032951185916E-51,0.0014555783429306911,6.526408780420274E-70,1.2885748432993347E-59,2.1548126400428514E-204,5.574863489122551E-94
4,2.148979679532239E-60,4.58015731100917E-148,0.9,8.07393612299443E-63,1.0,2.497996206968949E-9,1.1835904807403385E-92,2.118708312408859E-6,0.28242953648100017,7.838976787394851E-10,1.2900700781701051E-4,1.1167141109569747E-34
5,1.1947838420050068E-9,1.9721126652650337E-45,0.9,6.381590179588096E-44,1.0,1.2368008778481656E-96,3.272426261628314E-12,0.009697737297875247,0.1853020188851842,6.904765413297533E-32,0.12157665459056936,5.615986545028133E-18
6,2.402580604506597E-39,4.411451336748875E-20,0.9,2.2782586118290197E-15,1.0,2.4498239195898647E-24,4.148798319344721E-24,4.5677590745077476E-4,1.5210164339843212E-7,3.125183280972592E-15,0.47829690000000014,2.0462065674872E-22
7,1.1167141109569747E-34,1.158669982751064E-11,0.9,2.6397498664703947E-26,1.0,1.2704234747596576E-5,1.5684240429131574E-5,0.22876792454961012,4.681064296438284E-23,1.6321861968899057E-23,0.5314410000000002,2.6805725683172256E-25
8,7.735540101454295E-4,1.7859216373810117E-24,0.9,1.3900845237714525E-6,0.9,2.9512665430652825E-5,7.011544916677615E-31,0.31381059609000017,0.31381059609000017,8.844670561349016E-9,0.43046721000000016,1.0133716178293888E-6
9,6.063871929326224E-13,5.075287860564164E-4,0.9,3.121561087807798E-70,1.0,8.595044557171439E-4,9.261387130997904E-6,0.38742048900000015,0.38742048900000015,8.083304946930617E-8,0.16677181699666577,0.042391158275216244
10,2.282964069396189E-8,5.983858066120759E-7,0.9,5.446236218208488E-20,1.0,0.2058911320946491,3.125183280972592E-15,0.43046721000000016,0.43046721000000016,1.7696434542799794E-4,0.5314410000000002,0.38742048900000015
11,1.1825215439755396E-44,2.8184741597483813E-8,0.9,1.1088209803745703E-7,1.0,0.25418658283290013,9.471557494235298E-32,0.43046721000000016,0.34867844010000015,0.009697737297875247,0.04710128697246249,0.31381059609000017
12,0.020275559590445278,3.4581264627496446E-29,0.9,7.617734804586655E-5,1.0,0.1500946352969992,0.00338139191352273,0.43046721000000016,0.31381059609000017,4.885840370728236E-82,0.5314410000000002,0.34867844010000015
13,6.4477648392234335E-9,3.3161838949736628E-18,0.9,0.007069650490151055,1.0,0.34867844010000015,4.3622325302020334E-7,0.25418658283290013,0.38742048900000015,3.699884850351276E-4,0.06461081889226679,0.38742048900000015
14,0.030903154382632643,8.411920755261308E-26,0.9,1.158669982751064E-11,1.0,0.34867844010000015,1.1088209803745703E-7,0.08862938119652508,0.43046721000000016,0.12157665459056936,0.5314410000000002,0.38742048900000015
15,5.530460136598381E-19,6.349571197789829E-10,0.042391158275216244,3.5880511311095166E-6,1.0,0.1500946352969992,0.0984770902183612,0.43046721000000016,0.016423203268260675,0.07976644307687257,0.5314410000000002,0.38742048900000015
16,1.0133716178293888E-6,0.12157665459056936,0.9,4.411451336748875E-20,1.0,0.34867844010000015,0.2058911320946491,0.34867844010000015,0.38742048900000015,0.2058911320946491,0.5314410000000002,0.38742048900000015
17,3.3230330571020116E-11,1.821039234880364E-9,0.9,1.1088209803745703E-7,1.0,0.34867844010000015,0.16677181699666577,0.43046721000000016,0.43046721000000016,0.2058911320946491,0.47829690000000014,0.38742048900000015
18,2.1847450052839252E-4,0.10941898913151243,0.9,2.615689274578838E-6,1.0,0.34867844010000015,0.030903154382632643,0.38742048900000015,0.43046721000000016,0.22876792454961012,0.43046721000000016,0.34867844010000015
19,0.12157665459056936,0.2058911320946491,0.9,0.0024650347049580707,1.0,0.28242953648100017,0.22876792454961012,0.34867844010000015,0.43046721000000016,0.22876792454961012,0.43046721000000016,0.38742048900000015
20,8.577329159021353E-11,0.1853020188851842,0.9,2.497996206968949E-9,1.0,0.34867844010000015,0.25418658283290013,0.43046721000000016,0.43046721000000016,0.13508517176729928,0.34867844010000015,0.38742048900000015
21,0.2058911320946491,0.2058911320946491,0.81,1.3900845237714525E-6,1.0,0.34867844010000015,0.1853020188851842,0.34867844010000015,0.43046721000000016,0.1853020188851842,0.43046721000000016,0.34867844010000015
22,0.10941898913151243,0.1853020188851842,0.9,0.06461081889226679,1.0,0.34867844010000015,0.1500946352969992,0.34867844010000015,0.31381059609000017,0.22876792454961012,0.43046721000000016,0.38742048900000015
23,0.1853020188851842,0.16677181699666577,0.9,0.0984770902183612,1.0,0.31381059609000017,0.2058911320946491,0.34867844010000015,0.38742048900000015,0.0984770902183612,0.5314410000000002,0.16677181699666577
24,0.22876792454961012,0.22876792454961012,0.9,0.07976644307687257,1.0,0.31381059609000017,0.25418658283290013,0.43046721000000016,0.43046721000000016,0.22876792454961012,0.38742048900000015,0.38742048900000015
25,0.07178979876918531,0.1853020188851842,0.9,0.04710128697246249,1.0,0.34867844010000015,0.25418658283290013,0.38742048900000015,0.43046721000000016,0.10941898913151243,0.5314410000000002,0.07976644307687257
26,0.1500946352969992,0.10941898913151243,0.9,0.07178979876918531,1.0,0.22876792454961012,0.2058911320946491,0.43046721000000016,0.43046721000000016,0.2058911320946491,0.5314410000000002,0.25418658283290013
27,0.16677181699666577,0.12157665459056936,0.81,0.0984770902183612,1.0,0.22876792454961012,0.2058911320946491,0.38742048900000015,0.43046721000000016,3.6360291795870155E-12,0.47829690000000014,0.38742048900000015
