"episode","steps_mean","steps_lower","steps_upper"
0.0,0.0750249757637,-0.0900439229293,0.240093874457
1.0,0.164842259671,-0.042612375314,0.372296894656
2.0,0.158333344741,-0.0770082785257,0.393674968008
3.0,0.158454631529,-0.0768512045378,0.393760467595
4.0,0.181880055457,-0.0521821445215,0.415942255435
5.0,0.184714700998,-0.0459498355493,0.415379237545
6.0,0.198229485667,-0.0415965763723,0.438055547707
7.0,0.221686442753,-0.0172040915249,0.460576977031
8.0,0.238241156763,0.0180467342736,0.458435579252
9.0,0.240448360728,0.0100833217057,0.47081339975
10.0,0.323822052221,0.0973795223581,0.550264582085
11.0,0.275328499363,0.0508867259766,0.49977027275
12.0,0.308185417528,0.0830589531762,0.53331188188
13.0,0.279146408456,0.055284303777,0.503008513135
14.0,0.319926370014,0.0977732437864,0.542079496241
15.0,0.228040401485,0.0331971103663,0.422883692604
16.0,0.369749899196,0.169307907823,0.570191890569
17.0,0.362332775911,0.154601533137,0.570064018685
18.0,0.351251912288,0.145049824613,0.557453999963
19.0,0.380577629673,0.193286322229,0.567868937117
20.0,0.368357130439,0.170861848089,0.565852412789
21.0,0.374946452695,0.197510604684,0.552382300707
22.0,0.372270796837,0.185614445959,0.558927147716
23.0,0.366920124217,0.175467523498,0.558372724936
24.0,0.405820232804,0.23118890481,0.580451560798
25.0,0.362131021564,0.161173734115,0.563088309013
26.0,0.376534634564,0.184669037374,0.568400231754
27.0,0.359590808871,0.171332777742,0.54784884
28.0,0.393842605369,0.214243059593,0.573442151145
29.0,0.366957003633,0.188908544965,0.545005462301
30.0,0.386430778686,0.194294380063,0.578567177308
31.0,0.371225873062,0.196447409019,0.546004337105
32.0,0.376028263602,0.185164173622,0.566892353583
33.0,0.397339938035,0.229791501414,0.564888374657
34.0,0.393381719596,0.212200627578,0.574562811613
35.0,0.399101247839,0.218457974565,0.579744521112
36.0,0.404450103791,0.22442490335,0.584475304233
37.0,0.414650405515,0.238549049146,0.590751761884
38.0,0.406756018342,0.226683935456,0.586828101227
39.0,0.371572132042,0.191315627739,0.551828636345
40.0,0.374224575472,0.194878002856,0.553571148088
41.0,0.357636012769,0.1863856973,0.528886328238
42.0,0.393449914446,0.207360398288,0.579539430604
43.0,0.389205659484,0.197208827907,0.58120249106
44.0,0.357743420546,0.16750621025,0.547980630841
45.0,0.366670702663,0.165782679444,0.567558725881
46.0,0.404322762519,0.225584622896,0.583060902141
47.0,0.372579582628,0.18883513923,0.556324026026
48.0,0.4054097249,0.225357592376,0.585461857425
49.0,0.349231133073,0.207354665318,0.491107600828
50.0,0.394046078437,0.214296514293,0.573795642581
51.0,0.385919514289,0.206010600332,0.565828428246
52.0,0.358465337455,0.164472078047,0.552458596864
53.0,0.338158679249,0.144333235383,0.531984123114
54.0,0.410985244476,0.238143485491,0.58382700346
55.0,0.403512355622,0.226758666591,0.580266044652
56.0,0.407472458809,0.230989219396,0.583955698222
57.0,0.392365170463,0.207091610756,0.577638730169
58.0,0.371496354442,0.192667468062,0.550325240822
59.0,0.398846440951,0.210962973407,0.586729908495
60.0,0.400342749606,0.220004891093,0.580680608119
61.0,0.39869324232,0.216642351799,0.58074413284
62.0,0.380875238965,0.192073695841,0.569676782089
63.0,0.385856237697,0.217030765506,0.554681709888
64.0,0.39816396461,0.221202980733,0.575124948486
65.0,0.400064900491,0.222023808538,0.578105992445
66.0,0.37503364193,0.190559115888,0.559508167972
67.0,0.396018880935,0.214805033614,0.577232728256
68.0,0.386271100479,0.198460842878,0.57408135808
69.0,0.372932919077,0.181520618758,0.564345219396
70.0,0.390685342512,0.20536521102,0.576005474005
71.0,0.412865956634,0.233795677765,0.591936235503
72.0,0.392721142823,0.223219395483,0.562222890162
73.0,0.363533730848,0.176413471071,0.550653990626
74.0,0.370243152173,0.18183158123,0.558654723117
75.0,0.355225334603,0.16340551704,0.547045152166
76.0,0.390566471077,0.210129932678,0.571003009475
77.0,0.400709615485,0.224405949518,0.577013281451
78.0,0.375093092996,0.19366454646,0.556521639533
79.0,0.385243081908,0.198019030826,0.572467132989
80.0,0.39586786036,0.211384182132,0.580351538589
81.0,0.387233877209,0.217250446814,0.557217307603
82.0,0.39339063023,0.224049041343,0.562732219118
83.0,0.394206026498,0.210367128027,0.578044924968
84.0,0.389109884328,0.201352703787,0.576867064869
85.0,0.39830763297,0.217688991726,0.578926274214
86.0,0.392021835488,0.224269731987,0.55977393899
87.0,0.400094766839,0.214846496165,0.585343037514
88.0,0.389439984505,0.199348602651,0.579531366358
89.0,0.391614474299,0.210702836179,0.572526112419
90.0,0.381335897514,0.196314211398,0.566357583631
91.0,0.391480970218,0.210070017016,0.57289192342
92.0,0.377457928531,0.198299949623,0.556615907438
93.0,0.393234496061,0.213718960914,0.572750031207
94.0,0.396902778646,0.215880903665,0.577924653628
95.0,0.395318039947,0.215717325367,0.574918754527
96.0,0.39769021079,0.216332587966,0.579047833615
97.0,0.389046260233,0.202750836104,0.575341684363
98.0,0.397516873044,0.236218092335,0.558815653753
99.0,0.369326777811,0.18902584561,0.549627710012
