Episodes,Reward,Reward,Reward,Reward,Reward,Reward
0,7.097065331871999E-92,0.38742048900000015,7.164183154692703E-9,2.2595335668857734E-43,0.0225283995449392,1.0278503188832625E-60
1,3.0712462848931583E-23,0.9,7.54636787218565E-88,6.37832150651081E-250,0.7290000000000001,4.0630345333350415E-197
2,1.5795888531020076E-32,0.81,9.101546457199313E-14,5.66764557106064E-38,1.0,1.7582731921401614E-128
3,1.7426933810146195E-5,0.9,0.0010611166119964743,2.033580210197196E-43,1.0,0.014780882941434615
4,1.8950711171489343E-27,4.488924913070389E-12,0.4782969000000001,5.534041556753021E-170,1.0,1.8739277038848097E-14
5,1.928352213464356E-19,0.9,2.3182692180830978E-7,7.090655755097883E-44,1.0,2.862060763065552E-7
6,3.654364583426522E-46,0.13508517176729928,0.00636268544113595,1.9029072647552813E-13,1.0,1.2356838851462315E-48
7,2.733282198208946E-10,0.9,0.1500946352969992,1.279466971012624E-32,1.0,8.595044557171439E-4
8,0.01077526366430583,0.9,0.030903154382632636,1.5501306598224709E-198,1.0,2.6343090313950117E-33
9,6.751551218497474E-6,0.9,0.020275559590445278,3.3298963653161497E-4,1.0,0.16677181699666577
10,0.001996678111016038,0.9,0.1350851717672993,9.101546457199308E-14,1.0,1.0428029844759584E-11
11,9.510722527101445E-18,0.9,0.0523347633027361,1.5926791088519815E-4,1.0,0.01824800363140075
12,1.0449567633177853E-4,0.9,0.016423203268260675,1.0112829396888128E-13,1.0,6.751551218497472E-6
13,0.014780882941434608,0.9,7.617734804586658E-5,0.05814973700304012,1.0,7.735540101454297E-4
14,1.290070078170106E-4,0.7290000000000001,0.1667718169966658,3.699884850351279E-4,1.0,2.3855987447270434E-12
15,1.5926791088519818E-4,0.9,0.16677181699666577,8.08330494693062E-8,1.0,0.020275559590445278
16,3.279185047850315E-5,0.9,0.38742048900000015,5.639208733960185E-4,1.0,0.2058911320946491
17,0.0014555783429306916,0.9,0.5904900000000001,2.2782586118290193E-15,1.0,4.773110738113057E-8
18,0.0017970102999144337,0.9,0.08862938119652507,1.497852725930839E-8,1.0,1.1610630703530941E-4
19,0.0016173092699229908,0.9,0.0523347633027361,3.699884850351279E-4,1.0,2.0864422962747884E-7
20,1.1433811272836914E-5,0.9,0.13508517176729928,1.0896840314361243E-15,1.0,4.353241455684413E-14
21,3.4266065939217414E-9,0.9,0.07976644307687257,5.468756486982951E-6,1.0,0.014780882941434611
22,0.005153775207320121,0.9,0.2824295364810001,5.6275856612339116E-11,1.0,5.627585661233911E-11
23,1.2704234747596577E-5,0.7290000000000001,0.018248003631400757,0.0013100205086376223,1.0,6.265787482177982E-4
24,0.0014555783429306918,0.9,0.28242953648100017,0.030903154382632643,1.0,0.0984770902183612
25,6.265787482177981E-4,0.9,0.3874204890000001,2.3905258998828795E-5,1.0,2.49799620696895E-9
26,0.0014555783429306913,0.7290000000000001,0.0024650347049580716,0.0030432527221704577,1.0,5.983858066120759E-7
27,0.006362685441135951,0.9,0.4782969000000001,0.01642320326826068,1.0,1.8492008962109127E-8
28,0.0022185312344622636,0.9,2.184745005283926E-4,0.0010611166119964743,1.0,0.002218531234462264
29,3.3298963653161497E-4,0.9,0.12157665459056936,5.983858066120759E-7,1.0,3.986723479010573E-6
30,6.076396096647725E-6,0.7290000000000001,0.28242953648100017,4.846925033557813E-7,1.0,0.10941898913151243
31,0.0225283995449392,0.9,0.13508517176729928,1.1610630703530947E-4,1.0,0.09847709021836121
32,4.429692754456192E-6,0.9,0.18530201888518422,0.006362685441135951,1.0,0.3486784401000001
33,2.380681745017724E-19,0.9,0.34867844010000015,0.002218531234462265,1.0,6.85596132412799E-5
34,5.553328672543673E-5,0.9,0.47829690000000014,7.164183154692705E-9,1.0,0.030903154382632646
35,6.855961324127992E-5,0.9,0.030903154382632643,2.1514733098945916E-5,1.0,0.003757102126136369
36,6.265787482177982E-4,0.9,0.13508517176729928,3.533408349463646E-7,1.0,1.3480674533377565E-8
37,8.335248417898113E-6,0.9,0.16677181699666574,4.9979958052893045E-5,1.0,2.0864422962747892E-7
38,1.3480674533377557E-8,0.9,0.2824295364810001,0.006362685441135953,1.0,0.0017970102999144337
