Episodes,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward
0,4.2908206871402837E-63,1.3669779520093048E-165,0.7290000000000001,2.838537438654334E-35,0.011972515182562033,2.3877551994802655E-60,7.4998021253495315E-109,0.0041745579179292966,1.3999798259535963E-33,5.80298835530109E-9,7.124586483451906E-181,3.272426261628314E-12
1,2.7698306031832673E-16,1.0849187702307624E-132,0.9,3.782877844392727E-133,1.0,5.535459379272976E-67,6.4477648392234335E-9,1.1259684642548765E-6,4.110983167056973E-4,1.525535660674358E-48,5.423808687610773E-34,4.6360218828756955E-209
2,1.0817048211967691E-91,1.1454491733709916E-101,0.9,2.896969563861616E-68,1.0,1.4057687636155163E-19,6.5339818865072964E-15,3.8697145554468144E-56,2.3492682280929396E-13,4.836934950760456E-14,1.8911651525969528E-34,1.1200320791936221E-75
3,1.0686701595301958E-30,6.737635477029138E-13,0.9,2.066895411257582E-90,1.0,3.0416939573547443E-209,1.914231856293958E-95,1.0226931841056453E-26,4.539573182132171E-25,9.288904458867618E-47,0.25418658283290013,4.652179240919722E-44
4,7.230083370286622E-29,1.9007017308496066E-68,0.9,4.881427818849696E-34,1.0,9.558682246269506E-52,2.0228586708611296E-112,5.377852508084359E-165,8.300923972273262E-20,1.5441427500740706E-109,0.34867844010000015,3.699884850351276E-4
5,9.045384298751496E-35,8.489298368223031E-46,0.9,2.5157781669110288E-36,1.0,4.195608960562933E-37,2.6561398887587544E-5,0.003757102126136367,2.7414032951185916E-51,4.901612596387639E-20,6.64873118457862E-7,3.024473974802302E-24
6,4.195608960562933E-37,9.988409661644955E-56,0.9,1.7355169921179214E-19,1.0,6.751551218497473E-6,4.4205626364788173E-13,0.1500946352969992,5.8927293063124204E-8,7.387479093976244E-7,0.28242953648100017,1.9622177898881674E-11
7,2.6805725683172256E-25,2.838537438654334E-35,0.9,4.195608960562933E-37,1.0,2.8010824348272124E-29,7.055079108655365E-10,0.0011790184577738598,6.170365191715192E-5,2.601898711852226E-75,0.5314410000000002,0.00785516721127895
8,4.3442689128292896E-21,1.879495496517008E-55,0.9,2.1514733098945913E-5,1.0,0.02781283894436938,0.01077526366430583,0.38742048900000015,0.014780882941434608,2.5599600737131164E-28,0.38742048900000015,2.318269218083099E-7
9,1.4629183876386664E-37,3.957530700289871E-82,0.9,2.4928475428649406E-16,1.0,9.550049507968265E-4,2.9907297513918106E-11,0.0984770902183612,8.342783040436712E-54,9.726551104386674E-44,0.5314410000000002,0.16677181699666577
10,3.7994932828302705E-16,5.971524630568464E-14,0.9,1.5116308239268583E-28,1.0,0.001310020508637622,1.2678049824964836E-12,0.31381059609000017,1.906837481167973E-6,0.013302794647291147,0.47829690000000014,0.01824800363140075
11,4.524965913357247E-87,1.3815068444015734E-27,0.9,8.124066627665166E-42,1.0,0.00785516721127895,5.868463122928831E-22,0.05814973700304011,0.34867844010000015,7.703685246952171E-18,0.5314410000000002,0.38742048900000015
12,0.0016173092699229901,8.066644304329995E-15,0.001310020508637622,2.5995488575431195E-27,1.0,0.22876792454961012,0.0011790184577738598,0.31381059609000017,0.43046721000000016,0.025031555049932444,0.5314410000000002,0.38742048900000015
13,3.91791731011597E-14,1.4245661662790746E-25,0.9,2.0150446875184018E-23,1.0,0.34867844010000015,1.517881440146694E-14,0.2058911320946491,0.43046721000000016,1.4115816386218418E-5,0.5314410000000002,0.38742048900000015
14,1.3220708194808237E-23,3.1187419105124216E-22,8.20831010441805E-7,7.838976787394851E-10,1.0,0.31381059609000017,4.7004205677938825E-9,0.34867844010000015,0.13508517176729928,0.0017970102999144335,0.43046721000000016,0.38742048900000015
15,0.008727963568087723,1.0730891267324267E-16,0.9,0.01077526366430583,0.9,0.31381059609000017,0.042391158275216244,0.13508517176729928,0.43046721000000016,0.13508517176729928,0.5314410000000002,0.25418658283290013
16,0.004638397686588107,2.1514733098945913E-5,0.9,0.0041745579179292966,1.0,0.25418658283290013,0.030903154382632643,0.43046721000000016,0.43046721000000016,0.1853020188851842,0.34867844010000015,0.2058911320946491
17,1.541354884451778E-13,9.261387130997904E-6,0.9,0.08862938119652508,1.0,0.28242953648100017,3.21594802448993E-20,0.38742048900000015,0.34867844010000015,0.22876792454961012,0.43046721000000016,0.28242953648100017
18,2.086442296274789E-7,3.866219697871579E-8,0.9,0.06461081889226679,1.0,0.2058911320946491,0.025031555049932444,0.43046721000000016,0.43046721000000016,0.2058911320946491,0.34867844010000015,0.38742048900000015
19,0.16677181699666577,0.07178979876918531,0.9,0.10941898913151243,1.0,0.2058911320946491,6.170365191715192E-5,0.43046721000000016,0.28242953648100017,0.22876792454961012,0.5314410000000002,0.31381059609000017
20,0.22876792454961012,1.2484974564059401E-13,0.9,0.16677181699666577,1.0,0.31381059609000017,6.076396096647726E-6,0.31381059609000017,0.43046721000000016,0.1500946352969992,0.5314410000000002,0.25418658283290013
21,0.22876792454961012,0.13508517176729928,0.9,0.10941898913151243,1.0,0.25418658283290013,0.22876792454961012,0.43046721000000016,0.43046721000000016,0.22876792454961012,0.5314410000000002,0.28242953648100017
22,0.1500946352969992,0.0984770902183612,0.81,0.16677181699666577,1.0,0.28242953648100017,8.464149782874061E-5,0.34867844010000015,0.31381059609000017,0.2058911320946491,0.1500946352969992,0.38742048900000015
23,0.08862938119652508,0.16677181699666577,0.9,0.13508517176729928,1.0,0.31381059609000017,0.22876792454961012,0.38742048900000015,0.43046721000000016,0.16677181699666577,0.43046721000000016,0.31381059609000017
24,0.1853020188851842,0.12157665459056936,0.81,0.12157665459056936,1.0,0.34867844010000015,0.22876792454961012,0.43046721000000016,0.43046721000000016,0.22876792454961012,0.5314410000000002,0.34867844010000015
25,0.1853020188851842,2.733282198208946E-10,0.9,0.12157665459056936,1.0,0.34867844010000015,0.25418658283290013,0.31381059609000017,0.43046721000000016,0.22876792454961012,0.5314410000000002,0.38742048900000015
26,0.16677181699666577,0.1853020188851842,0.81,0.08862938119652508,1.0,0.34867844010000015,0.16677181699666577,0.43046721000000016,0.22876792454961012,0.1500946352969992,0.5314410000000002,0.38742048900000015
27,0.1500946352969992,0.1853020188851842,0.9,0.13508517176729928,1.0,0.28242953648100017,0.2058911320946491,0.07178979876918531,0.34867844010000015,0.1500946352969992,0.5314410000000002,0.38742048900000015
28,0.1853020188851842,0.12157665459056936,0.9,0.13508517176729928,1.0,0.25418658283290013,0.08862938119652508,0.43046721000000016,0.43046721000000016,0.22876792454961012,0.5314410000000002,0.38742048900000015
29,0.22876792454961012,0.1500946352969992,0.9,0.12157665459056936,1.0,0.31381059609000017,0.22876792454961012,0.31381059609000017,0.38742048900000015,0.1853020188851842,0.43046721000000016,0.38742048900000015
30,0.22876792454961012,0.1853020188851842,0.9,0.13508517176729928,1.0,0.31381059609000017,0.1853020188851842,0.43046721000000016,0.28242953648100017,0.16677181699666577,0.43046721000000016,0.31381059609000017
31,0.22876792454961012,0.1500946352969992,0.9,0.0984770902183612,1.0,0.34867844010000015,0.25418658283290013,0.43046721000000016,0.43046721000000016,0.1853020188851842,0.5314410000000002,0.38742048900000015
32,0.13508517176729928,0.1853020188851842,0.9,0.0027389274499534117,1.0,0.34867844010000015,0.2058911320946491,0.43046721000000016,0.38742048900000015,0.10941898913151243,0.5314410000000002,0.38742048900000015
33,0.2058911320946491,0.13508517176729928,0.9,0.12157665459056936,1.0,0.25418658283290013,0.2058911320946491,0.22876792454961012,0.43046721000000016,0.2058911320946491,0.47829690000000014,0.34867844010000015
34,0.22876792454961012,0.1853020188851842,0.9,0.009697737297875247,0.81,0.1500946352969992,0.1853020188851842,0.34867844010000015,0.34867844010000015,0.22876792454961012,0.5314410000000002,0.34867844010000015
35,0.2058911320946491,0.16677181699666577,0.9,0.07178979876918531,1.0,0.31381059609000017,0.1500946352969992,0.43046721000000016,0.43046721000000016,0.22876792454961012,0.5314410000000002,0.38742048900000015
36,0.22876792454961012,0.0984770902183612,0.28242953648100017,0.13508517176729928,1.0,0.31381059609000017,0.25418658283290013,0.43046721000000016,0.28242953648100017,0.2058911320946491,0.5314410000000002,0.28242953648100017
37,0.07178979876918531,0.10941898913151243,0.9,0.1500946352969992,1.0,0.28242953648100017,0.22876792454961012,6.076396096647726E-6,0.43046721000000016,0.16677181699666577,0.5314410000000002,0.25418658283290013
38,0.1853020188851842,1.1433811272836918E-5,0.81,0.12157665459056936,1.0,0.28242953648100017,0.13508517176729928,0.43046721000000016,0.43046721000000016,0.22876792454961012,0.5314410000000002,5.541882608728876E-12
