Episodes,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward
0,2.0626352966180986E-97,4.428558156997645E-109,0.7290000000000001,4.199401568563621E-85,0.9,2.9417700679802098E-67,1.7442686834133176E-53,2.2688767722100422E-29,3.556738172463397E-240,1.2765027987750197E-142,3.5880511311095166E-6,1.5216115779397727E-261
1,4.911736262754241E-13,3.834443174685306E-36,0.9,5.9892671564792345E-55,1.0,2.3039640663418046E-28,5.860160001478242E-180,4.278109616615118E-22,6.888768975398803E-142,4.977414122938543E-19,4.836934950760456E-14,0.00636268544113595
2,9.101546457199304E-14,1.1350087201132544E-81,0.9,3.367467385176005E-17,1.0,2.5988830232086328E-130,7.076041079279602E-51,7.617734804586655E-5,7.409428687647715E-48,6.62135179519782E-21,1.0449567633177853E-4,8.944464445860129E-22
3,9.02674069740574E-42,2.8268483780430184E-49,0.9,2.4542549432009636E-120,1.0,2.4274944503154723E-4,2.565247350336568E-21,3.692258952335568E-11,1.018481746746039E-40,2.5E-323,0.31381059609000017,1.0091985665596432E-20
4,2.7584244764354616E-30,1.1042548698592752E-21,0.9,8.131410353064702E-90,1.0,2.1623225440559374E-39,1.2484974564059401E-13,1.0449567633177853E-4,8.709974208216501E-10,2.0926415098413686E-48,3.986723479010574E-6,4.101459152409376E-114
5,2.9784139647969173E-25,1.0152045142794215E-102,0.81,5.79102771350445E-16,1.0,5.963075690323944E-172,1.541354884451778E-13,1.9662705047555326E-4,0.03433683820292516,5.058956789136316E-66,3.741630427973339E-17,8.844670561349016E-9
6,2.6343090313950113E-33,5.385472259508683E-7,0.9,1.2168655343892035E-49,1.0,0.00338139191352273,9.836295193877609E-57,0.31381059609000017,3.080371536844584E-64,6.862158749582718E-53,0.47829690000000014,2.0821418932053416E-14
7,2.3134909924503794E-14,2.570545547167088E-14,0.9,1.4157757138953843E-46,1.0,2.1867198989082794E-52,1.5619652929061291E-19,0.08862938119652508,2.0926415098413686E-48,5.372995604995761E-117,0.34867844010000015,1.0449567633177853E-4
8,7.348530471589355E-76,1.0961689646700192E-97,0.9,4.797180102970005E-42,1.0,2.0504327506461177E-15,6.252872956926567E-11,0.31381059609000017,0.31381059609000017,1.8098022989893065E-30,0.5314410000000002,0.001310020508637622
9,1.2678049824964836E-12,1.5893964098094157E-11,0.9,7.703685246952171E-18,0.9,4.411451336748875E-20,0.003757102126136367,0.34867844010000015,0.38742048900000015,2.9512665430652825E-5,0.5314410000000002,0.1853020188851842
10,1.87779806664731E-7,6.150510421414418E-67,0.9,2.2048415276308783E-24,1.0,3.5334083494636473E-7,3.92600927718183E-7,0.38742048900000015,0.22876792454961012,9.064066406118725E-28,0.5314410000000002,1.0091985665596432E-20
11,4.2042744649222084E-30,6.50707503325796E-29,0.81,1.221897291698078E-35,1.0,0.020275559590445278,1.6389353113923277E-9,0.43046721000000016,0.38742048900000015,9.775599182291475E-78,0.38742048900000015,0.2058911320946491
