Episodes,Reward,Reward,Reward,Reward,Reward,Reward
0,1.2741981425058445E-46,0.020275559590445278,2.1426135705159522E-19,0.0,7.387479093976238E-7,3.0775895590925186E-16
1,8.824179898031664E-119,0.6561000000000001,0.00161730926992299,1.6772134005517022E-186,1.0,2.526180947515062E-22
2,1.0321004954297341E-46,0.81,3.699884850351278E-4,4.432561338718249E-157,1.0,1.7675923776396913E-59
3,5.079875651639714E-52,0.9,3.9260092771818286E-7,8.409766171537448E-129,1.0,2.497996206968951E-9
4,1.10653556986694E-14,0.81,0.09847709021836118,2.978413964796921E-25,1.0,0.34867844010000015
5,2.9029528913404834E-61,0.9,0.07976644307687257,9.316503545908209E-88,1.0,0.34867844010000015
6,6.434475237227167E-16,0.9,1.6767838082148946E-289,3.0299443743221764E-120,1.0,3.536602363229438E-55
7,7.822819733879392E-17,0.9,0.07976644307687257,0.0,1.0,0.34867844010000015
8,5.691081370843239E-24,0.9,0.18530201888518416,3.0979097747535205E-249,1.0,0.5904900000000002
9,0.014780882941434608,0.9,0.4304672100000001,5.679351382508865E-31,1.0,0.5904900000000002
10,2.996906728784534E-4,0.9,0.052334763302736086,3.2122206319163255E-75,1.0,0.5904900000000002
11,8.46414978287406E-5,0.5904900000000002,0.3486784401000001,4.681064296438284E-23,1.0,0.5314410000000002
12,8.191391811479374E-14,0.81,0.4304672100000001,6.751551218497473E-6,1.0,0.5904900000000002
13,3.0712462848931583E-23,0.9,0.4304672100000001,1.61064921118079E-17,1.0,0.5904900000000002
14,1.8950711171489346E-27,0.9,0.2287679245496101,2.722026577322071E-24,1.0,0.5904900000000002
15,0.03433683820292516,0.9,0.10941898913151243,4.997995805289306E-5,1.0,0.34867844010000015
16,0.0016173092699229904,0.9,0.3486784401000001,0.1853020188851842,1.0,0.5904900000000002
17,0.007855167211278952,0.9,0.28242953648100017,0.011972515182562033,1.0,0.5904900000000002
18,2.6561398887587534E-5,0.81,0.20589113209464907,0.22876792454961012,1.0,0.5904900000000002
19,0.05814973700304011,0.9,0.3874204890000001,0.22876792454961012,1.0,0.5314410000000002
20,0.07976644307687256,0.9,0.4304672100000001,9.9472775193115E-70,1.0,0.5314410000000002
21,0.010775263664305826,0.81,0.0014555783429306922,0.2058911320946491,1.0,0.5904900000000002
22,0.006362685441135952,0.9,0.15009463529699918,2.05466766245657E-8,1.0,0.5904900000000002
23,0.042391158275216244,0.9,0.10941898913151243,0.0984770902183612,1.0,0.5314410000000002
24,0.16677181699666577,0.7290000000000001,0.3874204890000001,0.12157665459056936,1.0,0.5904900000000002
25,0.04710128697246249,0.9,0.4304672100000001,0.08862938119652508,1.0,0.5904900000000002
26,0.038152042447694615,0.9,0.25418658283290013,0.12157665459056936,1.0,0.34867844010000015
27,0.005726416897022358,0.9,0.47829690000000014,0.2058911320946491,1.0,0.5904900000000002
28,0.010775263664305831,0.9,0.20589113209464907,0.1853020188851842,1.0,0.5904900000000002
29,0.10941898913151245,0.81,0.1500946352969992,0.13508517176729928,1.0,0.5904900000000002
30,0.0024650347049580716,0.9,0.0984770902183612,0.1853020188851842,1.0,0.47829690000000014
31,0.0016173092699229908,0.81,0.0022185312344622644,0.2058911320946491,0.9,0.5904900000000002
