Episodes,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward
35,0.0588212697,0.0784068618,0.0150539972,0.0185760254,0.0569746617,0.0570560934,0.0383631685,0.0463027342,0.0581341792,0.0868012215
36,0.0968845157,0.0913666496,0.0572809633,0.0024635037,0.0659448968,0.0824765331,0.0477631482,0.0286431845,0.0845975612,0.0636864045
37,0.0088418335,0.0645416587,0.1109796605,0.0511314729,0.1129468749,0.0636528773,0.0591895923,0.0888931612,0.0700965702,0.0725140207
38,0.0356338639,0.0764379657,0.0859104946,0.0023763184,0.1204724661,0.126623836,0.0884157661,0.0743887303,0.0998560808,0.066104384
39,0.0700268053,0.1155988434,0.042860831,0.0308913394,0.0805617693,0.0517218418,0.0613979622,0.1422223508,0.051674304,0.0461546234
40,0.1269256214,0.0401981887,0.037433854,0.0053772052,0.1454120134,0.0010745533,0.0805298274,0.0466144129,0.1337367874,0.0751110087
41,0.083019187,0.0671819964,0.0488847838,0.0112600991,0.11972452,0.1150664296,0.0611998765,0.0715196826,0.0591157393,0.0488640454
42,0.0135464464,0.0639611194,0.0512063695,0.0014655442,0.1258579539,0.0997714202,0.0710492887,0.1057636462,0.125720181,0.0409476413
43,0.060240692,0.0676942389,0.152763461,0.0269209512,0.0960344758,0.058611189,0.0894575896,0.1275112406,0.0671202214,0.0710387441
44,0.0582803421,0.0585662028,0.0332111352,0.0111978819,0.134499367,0.115143954,0.0791439384,0.1255600249,0.1599100157,0.0838095215
45,0.004043722,0.0946684013,0.0804333149,0.0120334829,0.1108859104,0.0765046522,0.0560388619,0.1006888307,0.0422884114,0.1230097377
46,0.0393408385,0.1076845557,0.1056303771,0.0193296613,0.0977894244,0.0885305878,0.0427806544,0.1630831505,0.1289527824,0.0819723606
47,0.0550608874,0.0653903125,0.0968414711,0.004027752,0.1012828114,0.1232985648,0.0601226104,0.0658332498,0.0245148903,0.07269045
48,0.0878578485,0.0878699791,0.0543334072,0.0097862396,0.0941595936,0.0104614949,0.0587549314,0.0510818777,0.0888588848,0.0772867915
49,0.0536744631,0.09084021,0.1132309584,0.0238237822,0.0775092577,0.0288983261,0.0669742809,0.1735962927,0.066521163,0.1054849229
50,0.0724732899,0.0714657616,0.0689264976,0.0084285255,0.0702364638,0.0845736929,0.0683582158,0.1200590186,0.0452496076,0.0886676314
51,0.0682324217,0.0874856182,0.1113931473,0.002132678,0.1519834955,0.1250779793,0.1139194172,0.0954024533,0.1408683004,0.0667167942
52,0.0658602139,0.034349426,0.1253827248,0.0124298314,0.1372103223,0.0978490436,0.0274179929,0.1200601091,0.0925441913,0.0536754026
53,0.131854095,0.0459813451,0.0980960751,0.0267267817,0.1909089725,0.0987936875,0.0609875042,0.083025655,0.1270587844,0.0518653723
54,0.1135370383,0.0541807066,0.1336333616,0.0202774966,0.1345181717,0.1484441313,0.0861540116,0.1183580306,0.0538998923,0.0998334717
55,0.0763286241,0.0678096299,0.1675313753,0.0581130772,0.1328052986,0.1119774656,0.0735766292,0.1178802215,0.0861713161,0.1166886928
56,0.0968124254,0.0901414837,0.1717657497,0.0881996705,0.1143239863,0.1307052613,0.0304206217,0.1854380558,0.0806163135,0.0451545003
57,0.1199327625,0.1114907584,0.0904274752,0.0825697921,0.1893675275,0.0953434863,0.0700083436,0.0766755692,0.0668313071,0.0985214323
58,0.0763750383,0.0805830152,0.0676072709,0.0717495934,0.1012928382,0.1455656164,0.0987869358,0.0890365836,0.0712330136,0.0864119345
59,0.1169986337,0.0879991032,0.1638224537,0.0623915658,0.1268831002,0.0477404125,0.0458087701,0.0827231442,0.0377054422,0.1692361844
60,0.1252219773,0.0590485066,0.0977368265,0.06414951,0.1667220496,0.0678377701,0.0841926588,0.1112372838,0.0927509189,0.1329805155
61,0.1130561052,0.1190530787,0.0606765587,0.0595651835,0.1235439283,0.1216491593,0.0712674131,0.0618794375,0.0851280886,0.1614352006
62,0.068527287,0.113039955,0.1485734268,0.0671322395,0.1218683507,0.1721434867,0.0835350135,0.1209425505,0.0740794902,0.0674718419
63,0.1126543062,0.0795613571,0.0782449351,0.0682041803,0.1922724992,0.09343839,0.0592362714,0.0981677945,0.0533734208,0.1321434955
64,0.116417275,0.0880420566,0.0464762495,0.1262968482,0.1563702011,0.1559202866,0.0534745541,0.055235537,0.0997390534,0.0516189774
65,0.0979274985,0.0430353699,0.0727667488,0.0351996804,0.1699884017,0.1243424659,0.0563808966,0.1477934327,0.0683157457,0.156305571
66,0.1309163724,0.0269045719,0.0788466291,0.0738673529,0.1820697809,0.0990124417,0.0872485961,0.1218063795,0.0294464591,0.1267896669
67,0.122814786,0.0474494967,0.1049367538,0.0741600575,0.1572407161,0.1372204106,0.0866704958,0.1521494658,0.0679270103,0.0831068746
68,0.0517239455,0.041214766,0.107106371,0.0680407911,0.1631994569,0.0880589833,0.0338232145,0.1676760955,0.1723998122,0.1087319357
69,0.1627905354,0.120354628,0.0723408013,0.157399895,0.1970334761,0.0834646822,0.0617199862,0.1037876323,0.0725596178,0.0795552688
70,0.1445688194,0.1175445933,0.1270238966,0.0049573158,0.1788787178,0.1004751186,0.0941782227,0.2016436243,0.1394487588,0.1239934894
71,0.0530145968,0.1331231515,0.0968344051,0.0775488337,0.1382465779,0.0993960558,0.0544529586,0.1265944396,0.0656694827,0.1272542272
72,0.174444022,0.1045077302,0.062487132,0.1394024477,0.160142459,0.0644995967,0.0576950796,0.112896147,0.1015507958,0.1283350345
73,0.1109244348,0.0952774768,0.071116564,0.0743820606,0.1703835216,0.0905944177,0.0691814364,0.0929243341,0.1119700111,0.1386554676
74,0.1093718628,0.0736934665,0.0917181309,0.0723043535,0.144373103,0.1299642479,0.0699766176,0.1053619526,0.0575359255,0.0947644967
75,0.0958865607,0.1256035692,0.1004207059,0.0651202882,0.1941406081,0.1037889817,0.087251246,0.1244581838,0.0931972432,0.1246065341
76,0.1161008795,0.1328008997,0.0976410479,0.0625117165,0.1173663635,0.076901235,0.0602216263,0.0463775833,0.0621666136,0.0724107758
77,0.0988223035,0.1374184714,0.1433695831,0.0911038112,0.1548772371,0.1509284563,0.0444545651,0.1103714613,0.0826029325,0.141818597
78,0.135430702,0.1124876303,0.143483398,0.0863346687,0.1277380719,0.060411913,0.0993419095,0.1258232028,0.1205130955,0.1265168324
79,0.1082060319,0.1204344303,0.2034092276,0.0808021424,0.2136115833,0.135187253,0.1090235514,0.1137576607,0.1068245798,0.1233357603
80,0.1243782089,0.0949856487,0.1805401687,0.1242492799,0.1621201061,0.1105463196,0.0785696251,0.0683546063,0.0771832119,0.0649456071
81,0.1369800972,0.1191079241,0.178084318,0.1149936449,0.1765343479,0.1320605207,0.0533164351,0.0828098765,0.071096889,0.0959588143
82,0.0847257779,0.1312792864,0.1105410591,0.1235110968,0.2187675861,0.0804825759,0.0906702445,0.1240117686,0.0692865047,0.1332371376
83,0.1353382965,0.1359814675,0.1511852821,0.1141632867,0.1416797601,0.0867872925,0.0695153287,0.1247204535,0.1002933166,0.1423207621
84,0.1155683092,0.1163099355,0.2211480793,0.1384131417,0.1316203515,0.1487068155,0.0362152828,0.094295012,0.0457254096,0.1184172062
85,0.1722700462,0.0660699039,0.1443753951,0.0707914267,0.1666893879,0.1244400491,0.0789486071,0.1336047259,0.1183707087,0.1276965107
86,0.1418197776,0.0078054774,0.196655571,0.0869922592,0.1114272513,0.065338467,0.0956976451,0.1235981239,0.0723191323,0.1398451344
87,0.1271906352,0.0643335227,0.1004906182,0.1208094445,0.1088393409,0.0874353226,0.0625928988,0.1269254265,0.0729617215,0.1650483021
88,0.1295822186,0.087767674,0.1351386289,0.0956054551,0.1290304168,0.1013660225,0.072394993,0.1106784953,0.0489547559,0.1181493791
89,0.1104195155,0.1213024167,0.210893596,0.1202298631,0.180605153,0.1450250902,0.0697681481,0.0498130209,0.080631611,0.1166709784
90,0.1512003765,0.1038857375,0.1524998164,0.1121902199,0.1896856548,0.0883810876,0.1311523876,0.0911128928,0.084427694,0.1202867953
91,0.1334439527,0.1018992801,0.1696068362,0.1197175907,0.2194312085,0.0841132991,0.150417705,0.0413873799,0.0679810745,0.1064821407
92,0.1081780725,0.1259191808,0.1268814504,0.1198650741,0.1754490803,0.1581884083,0.1127200261,0.123068156,0.0751878486,0.1452899873
93,0.1061390656,0.0787531007,0.1829368704,0.1040545856,0.1789280912,0.0769335486,0.0532051232,0.1348600921,0.1305577884,0.1436004183
94,0.1403540574,0.1335438263,0.1927467006,0.1111718778,0.2108293465,0.1726410512,0.0517816501,0.111477107,0.1056923819,0.1093454017
95,0.0962261915,0.0921014242,0.1933656697,0.1106740703,0.1449660268,0.1401431408,0.0814064365,0.1237622334,0.1350263058,0.1898490065
96,0.1289244254,0.1283687691,0.1690464059,0.116878143,0.2023143827,0.1462003548,0.0794703931,0.1505359742,0.094862269,0.1105418351
97,0.1096211598,0.1421097999,0.1374186074,0.0737715478,0.2066209963,0.1434985894,0.1599915181,0.0782865206,0.0726585209,0.1204259995
98,0.112064775,0.120182593,0.1905064794,0.1111524701,0.1740758177,0.0531009507,0.0797022001,0.1647647327,0.1058643122,0.159433525
99,0.1064014815,0.0478211922,0.1912203559,0.0653837378,0.1582307291,0.079290061,0.1285608922,0.1006464548,0.1147806129,0.1354561675
100,0.1333057763,0.0690275901,0.114637573,0.1154045315,0.1692643239,0.0881549292,0.1041493069,0.1532784499,0.0889591441,0.101067758
101,0.1630720115,0.1241048655,0.2001260736,0.0959271674,0.1025925684,0.1173397198,0.0764300419,0.1532861504,0.0897364855,0.1232951486
102,0.1496211273,0.1138401235,0.1457719891,0.1033179475,0.1850409105,0.1068496923,0.071654312,0.1788326648,0.1268070753,0.1186940756
103,0.0934066397,0.1381350587,0.1168543203,0.1166897352,0.1816815111,0.095922161,0.1294684897,0.1565606697,0.0907787808,0.146416118
104,0.1231145431,0.1652658547,0.1228803532,0.1216103713,0.1587445931,0.1091330244,0.1111430717,0.1327896692,0.2163218127,0.1331299771
105,0.130200474,0.1211689813,0.152227362,0.1190306102,0.1923994678,0.1306743432,0.1223074198,0.0652044139,0.1145929755,0.0486712755
106,0.155260089,0.1135149381,0.1187881925,0.1745819793,0.1147985295,0.0598526511,0.1178032101,0.1047300251,0.107961049,0.1248739214
107,0.1687778336,0.1587937053,0.145808878,0.0973074849,0.2028628187,0.0755884121,0.1388851624,0.1420112109,0.1077703035,0.1273238848
108,0.1189323388,0.1683307781,0.190095483,0.097419368,0.2265608151,0.1600160225,0.0851489353,0.1586525719,0.1221175543,0.1413298325
109,0.0800166828,0.0864605347,0.1370182457,0.1486941474,0.1855400425,0.1513231792,0.0873621687,0.1292633715,0.1319715455,0.1483898919
110,0.1140252266,0.1766548208,0.1544412683,0.1249143156,0.0952594589,0.0936356114,0.1106947686,0.098149605,0.2010945286,0.1412463472
111,0.124299529,0.1076284839,0.1607710079,0.1035898533,0.2026608706,0.1080605124,0.1320361892,0.1456241002,0.1610831378,0.1613815069
112,0.1508786387,0.1169346131,0.1869315103,0.1588254116,0.2060730711,0.1210980464,0.1068709994,0.1442354366,0.2051364829,0.1462776642
113,0.1546459309,0.1112391238,0.1478947151,0.1338661917,0.1351700356,0.1541339719,0.0941464869,0.1182654501,0.1667806227,0.1325519261
114,0.1045574091,0.1712220494,0.1893310617,0.0516449998,0.2122501521,0.1187224832,0.0730770049,0.1294396471,0.239526742,0.0966305687
115,0.123544041,0.1506117574,0.1719984749,0.1967507216,0.1815438487,0.1238657094,0.0885056674,0.1281648512,0.1959948872,0.1301237987
116,0.1362845793,0.1678945359,0.1973345912,0.098749605,0.2239062045,0.0569966165,0.1255705066,0.1348377108,0.1960709041,0.1130856403
117,0.0852688489,0.1314178694,0.125607976,0.1064507872,0.1470999079,0.1410136888,0.0850470105,0.1015903117,0.2218464638,0.1160897549
118,0.0952699769,0.1564539865,0.2055760594,0.1703629381,0.1624440272,0.0853286122,0.1011991949,0.1318865781,0.2433541045,0.043630135
119,0.1717050197,0.1137862703,0.121559144,0.0717066802,0.1593487696,0.0825664744,0.0602397966,0.1077008587,0.1308691064,0.0877046144
120,0.1430431358,0.1691505948,0.1685347703,0.0981584537,0.1887476028,0.1113411767,0.1418350831,0.1831935606,0.2240291985,0.1687938165
121,0.1766824804,0.1956829327,0.187237159,0.1180350283,0.1728171391,0.1659123011,0.0729571044,0.1527321183,0.173561967,0.1161573931
122,0.1341297882,0.1617337919,0.201010001,0.1031183623,0.1436973663,0.1159009845,0.1373579584,0.1510572512,0.2108943298,0.161112838
123,0.1434087587,0.1683251148,0.1238363468,0.0796924244,0.127481126,0.1448340933,0.1021088938,0.2027653694,0.1852399419,0.0793295016
124,0.1525733269,0.1996929321,0.1726954545,0.0713136097,0.1375296327,0.1450698172,0.1208062622,0.1321988844,0.1982168457,0.1217644924
125,0.0659263976,0.1757781645,0.0880598968,0.0911340487,0.1532718996,0.0557743295,0.1006296729,0.1758547061,0.1716929026,0.1483751139
126,0.1052160959,0.1676540046,0.1499306239,0.1643133835,0.1143848368,0.1208247358,0.0382597406,0.1330125454,0.1684402346,0.187390408
127,0.1605575735,0.199892737,0.162396173,0.1252170946,0.1989292782,0.1653607357,0.0892262456,0.1534121253,0.2260189292,0.1386063676
128,0.1497192661,0.1583193151,0.1585260709,0.1573370535,0.1586562338,0.1556106824,0.1465088147,0.1647253554,0.1909364265,0.1231925874
129,0.0862629289,0.1271889681,0.106947804,0.1602145511,0.1438365812,0.13837503,0.1572351303,0.1383744977,0.1745533167,0.1747292316
130,0.1468107723,0.2211625311,0.1372594103,0.1801826493,0.1808171707,0.128618094,0.1727683716,0.1696555932,0.2291365057,0.1822049123
131,0.1135653004,0.1691937253,0.1819339003,0.0953311237,0.14260764,0.1246533524,0.0769306142,0.1388145629,0.1953946441,0.0976830347
132,0.1180088004,0.1528296499,0.1147766659,0.1275972183,0.2192351874,0.2178757115,0.0341112854,0.0914941062,0.187658562,0.1455805999
133,0.1953891751,0.1474415447,0.1508726415,0.1409626091,0.2024205846,0.1545069706,0.0595609198,0.159064869,0.2081743342,0.0697334372
134,0.1556871862,0.1256336708,0.1961610636,0.1940989493,0.1975328807,0.0814937885,0.0927525769,0.1011465249,0.2233405396,0.0706373692
135,0.1310025181,0.1277125262,0.1552269436,0.2035893795,0.1928416136,0.0929054507,0.0951118704,0.1159116019,0.23038674,0.0991409141
136,0.1297341066,0.1816152824,0.1631585529,0.1814252369,0.2257982747,0.1318036612,0.0742491111,0.1764192286,0.2115005811,0.0617231898
137,0.1220268404,0.1922581054,0.1388795207,0.1077981975,0.2020899496,0.1050816306,0.1040122667,0.1153894737,0.2436316023,0.1141481115
138,0.1492676975,0.1462076868,0.1397968355,0.1661924625,0.1345462427,0.119076366,0.0628417883,0.1593398546,0.115483807,0.1411687916
139,0.1201865516,0.2068151484,0.1737565367,0.174490172,0.1881532911,0.1376724173,0.0808805574,0.2170829392,0.1747304123,0.160294654
140,0.1466478342,0.1746724421,0.1360658803,0.1289914696,0.1882919913,0.1001742447,0.0697812447,0.2352242693,0.1593806703,0.156062098
141,0.2180697299,0.2103462336,0.1295005878,0.169985274,0.1839853118,0.1144274566,0.0872163769,0.2004144355,0.2036050633,0.1594822184
142,0.1377012773,0.1189457518,0.1350324115,0.089049651,0.192957971,0.1543181577,0.1199641122,0.2161263743,0.2073055027,0.1451999558
143,0.0829139274,0.1860487415,0.1816021553,0.1795301779,0.1649042093,0.1804696425,0.11092827,0.1944308301,0.2322306872,0.1587325217
144,0.1314510624,0.2035389608,0.2151922025,0.1911702456,0.1308875222,0.0923254267,0.1108614923,0.2473459615,0.1999042195,0.1195178314
145,0.1476853331,0.197833255,0.1822413928,0.1638213534,0.2087036882,0.1400462849,0.1205286512,0.1697373111,0.1225125186,0.1425122053
146,0.1215769427,0.1536394646,0.2066191834,0.1736559987,0.1463880864,0.1445442754,0.1209601786,0.181992865,0.1106419649,0.1381569982
147,0.1137966063,0.1433840324,0.1157076892,0.1389117141,0.111609568,0.1630030546,0.1627134892,0.2081596788,0.2261707187,0.1297355223
148,0.1003907894,0.1985149167,0.1924875068,0.066494109,0.216223576,0.2205126651,0.1038621536,0.2278205712,0.1064990584,0.1357536599
149,0.1088553064,0.0971467807,0.1298635291,0.1718440198,0.0876588136,0.1712296739,0.123839866,0.1707759055,0.2531534418,0.0919995227
150,0.1587598751,0.1627192381,0.1701999231,0.104679773,0.1857098571,0.1599295004,0.1127005981,0.2156122265,0.2448774843,0.1141285801
151,0.1214880121,0.1819851408,0.1149797845,0.1661195556,0.2109437444,0.1005011245,0.0548048534,0.2234498397,0.1833934631,0.1181020611
152,0.1964455505,0.0875728268,0.2122094569,0.1240087849,0.1829045538,0.104869097,0.1457868757,0.1878389654,0.2057868046,0.105519364
153,0.0832348136,0.1402727038,0.1242702307,0.0736488078,0.1725509671,0.1294092364,0.1123536353,0.2710008357,0.2248207942,0.1311065778
154,0.1363763484,0.2060818546,0.1498855986,0.202158706,0.1376214467,0.0962204891,0.1556419041,0.2144701237,0.1553535195,0.1448295185
155,0.1269658946,0.1192573814,0.1060760697,0.1801330921,0.1604859403,0.1737050623,0.0971646581,0.1498274321,0.2335068686,0.119454953
156,0.1727990685,0.153290367,0.1877495494,0.147696345,0.2225890856,0.1218100372,0.0929644729,0.156482766,0.2312300282,0.0797286939
157,0.138751509,0.1573825975,0.1511251014,0.2045736946,0.2224466248,0.0967518152,0.0629925234,0.1190361819,0.1411073492,0.1845350701
158,0.1329311945,0.2052591455,0.1956033219,0.1335802335,0.1467764314,0.125920123,0.1170411425,0.1834769548,0.1603738381,0.0737255535
159,0.1637085752,0.1625292387,0.1354190002,0.1520100893,0.1216069516,0.1487670243,0.1435287509,0.1783236191,0.246699677,0.2069015178
160,0.1633943752,0.1890945763,0.1591772084,0.1573328779,0.2138804698,0.1520061284,0.0969689137,0.1057648863,0.2075141284,0.0998648391
161,0.1028013595,0.1210691012,0.1022674774,0.1677803854,0.1288716091,0.1244253655,0.1919700029,0.1829559902,0.235399205,0.0700317261
162,0.1300088,0.1881890347,0.1447461132,0.1391629637,0.2362585023,0.1121613551,0.1387538004,0.2133298792,0.2646665107,0.1176203407
163,0.1052316582,0.2208453531,0.1280937086,0.1082416738,0.1990871298,0.0457857629,0.0716479854,0.1462106657,0.2441599092,0.15499849
164,0.1606223597,0.1804956606,0.2236515532,0.1709742584,0.206052664,0.1373656395,0.1476873886,0.1859548936,0.1805500531,0.12380613
165,0.1350988863,0.1127585915,0.2101102525,0.1587547177,0.1746261143,0.2052508299,0.1672648907,0.207849273,0.152120426,0.1575785764
166,0.2016544484,0.1617443332,0.2515138586,0.1555780885,0.1898970958,0.1526654762,0.1026140099,0.1746981605,0.1580287593,0.1449697875
167,0.1383177798,0.1739000206,0.1553015772,0.1783698438,0.1508144435,0.2040506415,0.0969663508,0.2079570875,0.2227409049,0.1261866778
168,0.1293656221,0.1641520924,0.2258358503,0.0501963522,0.2083993671,0.1377111669,0.1668912624,0.2113689374,0.2575286401,0.0713342102
169,0.1363201063,0.1873245441,0.2247389751,0.1683922897,0.1824822167,0.1740930088,0.1249797826,0.1813723995,0.2573828032,0.1328238704
170,0.112306956,0.172417488,0.1886068915,0.1380770005,0.1811890135,0.1464334544,0.0898893837,0.2172459314,0.2512238853,0.1126503712
171,0.1314326337,0.1942926807,0.2487846161,0.228766585,0.1919792764,0.1459880889,0.1122575505,0.2324523055,0.262089961,0.1423797153
172,0.1454902617,0.164089046,0.1981319448,0.1629750608,0.1621429776,0.1016124187,0.0660473655,0.2259896764,0.2285054966,0.1412369615
173,0.0902400292,0.1890622877,0.2038810384,0.1252136887,0.2281579215,0.1645154679,0.1043161324,0.2039693269,0.2737126068,0.1621155418
174,0.1439428769,0.150020775,0.1900296689,0.1953946604,0.1630997956,0.1472741804,0.0416084818,0.1880520602,0.2088294915,0.1120286507
175,0.1884304902,0.1868614449,0.1590999426,0.1953379266,0.188319914,0.1271749177,0.1186298577,0.2245902774,0.2341925926,0.1315720705
176,0.1071995138,0.1156660182,0.1133957078,0.1330889193,0.1125338206,0.0734106323,0.1368345058,0.2216788743,0.188289131,0.1342921825
177,0.1535693079,0.1832304721,0.157640148,0.2201074335,0.1297976156,0.1297480865,0.1426050657,0.1657265626,0.2371901593,0.1775499477
178,0.1765320013,0.2222182657,0.2542933889,0.1919021958,0.2013391282,0.1371106028,0.1363130129,0.1638130993,0.2500307239,0.1272691831
179,0.1928315506,0.2126047417,0.1229766413,0.2265763753,0.2045319693,0.1703289453,0.1783512515,0.1730108542,0.2305213021,0.1106965241
180,0.1634839769,0.1623459084,0.1626617822,0.1684117539,0.2195446614,0.1363028305,0.1097108122,0.1664357374,0.181635036,0.1024143107
181,0.1103917493,0.1976221803,0.2800388512,0.1405906621,0.2433134531,0.1976038637,0.1854339009,0.2381773246,0.2254724946,0.1340008677
182,0.1605786023,0.2053967691,0.1582498168,0.147346876,0.1907851594,0.1663260987,0.050501173,0.1864815079,0.2399773558,0.0881831311
183,0.098680017,0.1480284393,0.2031998816,0.1286062768,0.1543380067,0.08637811,0.0960833199,0.2341437662,0.2586596923,0.1506428627
184,0.1724024494,0.1665452257,0.1994017433,0.1889305431,0.2115876058,0.1867733556,0.0965512973,0.2288868416,0.2150578459,0.1639660947
185,0.1341141868,0.1882250212,0.2374336767,0.2094257037,0.1687807347,0.1002374852,0.1187493718,0.1881758045,0.2570487704,0.2048050832
186,0.1292608207,0.2090573993,0.1439341339,0.1969881192,0.1824234494,0.1122823938,0.1425611422,0.2313201207,0.2492061126,0.1623724306
187,0.1140513991,0.1622782062,0.1430845126,0.2098326838,0.2320123515,0.1155563807,0.1246353085,0.2183367027,0.1587481891,0.1394037122
188,0.0924809896,0.2320124873,0.178101032,0.1627905682,0.2037256922,0.2281763717,0.1668832542,0.1694937859,0.199163408,0.1852530618
