Episodes,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward
0,1.1895589722933758E-126,1.545934540513998E-54,0.5904900000000002,1.1207573905353894E-226,1.0,5.190462302373097E-30,2.4498239195898647E-24,1.8833773588572318E-48,3.741630427973339E-17,3.8937413424613636E-35,1.247050405610427E-68,1.613975805220401E-10
1,5.879077477066953E-118,6.743725942193093E-61,0.9,1.535007604890637E-27,1.0,5.80298835530109E-9,4.109930202142246E-107,1.2510760713943073E-6,2.8094049790270182E-70,1.1597173589694013E-59,3.5388925992441164E-206,1.4419417220887914E-86
2,1.1944778165567886E-112,1.2269498553991946E-21,0.81,1.0715708434681502E-174,1.0,0.014780882941434608,4.590792912559116E-38,8.681947579020875E-72,7.960203505214115E-9,8.409766171537448E-129,1.0974409358471328E-42,1.528686463344974E-41
3,6.407978151077897E-30,3.180067514517283E-7,0.81,1.8060720835045265E-37,1.0,4.4704395780968254E-26,1.6845801824436476E-69,2.1470388702543367E-12,1.1410244842468353E-12,2.0626352966180986E-97,0.06461081889226679,7.608905592198244E-60
4,4.609775910383023E-24,7.011544916677615E-31,0.9,4.609775910383023E-24,1.0,8.595044557171439E-4,0.0030432527221704573,4.411451336748875E-20,7.617734804586655E-5,5.451159326927384E-68,0.03815204244769462,8.926028852205707E-29
5,7.3570575502198E-21,1.4913025157044713E-125,0.9,2.0859078862698564E-110,1.0,9.876968422624195E-43,1.8114382642909657E-78,2.1847450052839252E-4,1.4115816386218418E-5,2.5261809475150615E-22,0.06461081889226679,4.9218808382846585E-6
6,2.1802419887646303E-11,2.6397498664703947E-26,0.9,6.156070156664246E-115,1.0,6.265787482177979E-4,6.076396096647726E-6,2.8184741597483813E-8,0.07178979876918531,1.724365998339618E-143,0.5314410000000002,4.488924913070389E-12
7,8.808248321898919E-23,1.8135402187665618E-23,0.9,1.679159603347197E-131,1.0,0.013302794647291147,2.1802419887646303E-11,1.0919346372035822E-8,1.731939887391226E-26,1.1669179629368979E-38,0.5314410000000002,6.076396096647726E-6
8,2.4825820287919157E-30,1.49476547522102E-15,0.9,7.486261641143486E-13,0.9,0.016423203268260675,9.897368062754432E-36,0.1500946352969992,5.8927293063124204E-8,1.541354884451778E-13,0.5314410000000002,0.042391158275216244
9,1.6865349334963268E-14,4.060405092696135E-46,0.9,5.983858066120759E-7,1.0,0.020275559590445278,4.76327279526382E-15,0.31381059609000017,0.013302794647291147,0.001996678111016037,0.47829690000000014,2.6972160559060804E-4
